,Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter,total_covid_cases,population,new_cases,total_covid_per_capita_1000,new_cases_per_capita_1000
38,"Amarillo, TX",11100,2020,3,211.03,6.590000000000003,3.223439639992175,2020.5,9093,265053,5332.0,34.30634627791423,20.11673137070699
39,"Amarillo, TX",11100,2020,4,215.5,9.389999999999986,4.555819707922947,2020.75,29726,265053,20633.0,112.15115467472543,77.8448083968112
40,"Ames, IA",11180,2020,1,216.2,5.879999999999996,2.7957398250285257,2020.0,3,123351,3.0,0.024320840528248656,0.024320840528248656
41,"Ames, IA",11180,2020,2,217.6,4.3700000000000045,2.049430192749615,2020.25,835,123351,832.0,6.769300613695876,6.7449797731676275
42,"Ames, IA",11180,2020,3,219.82,5.389999999999986,2.513640815184436,2020.5,4039,123351,3204.0,32.74395829786544,25.974657684169564
43,"Ames, IA",11180,2020,4,220.33,4.5400000000000205,2.103897307567552,2020.75,9915,123351,5876.0,80.38037794586181,47.63641964799637
44,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,1,362.59,9.529999999999973,2.6992579165014368,2020.0,502,3175692,502.0,0.1580757831678891,0.1580757831678891
45,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,2,366.37,11.009999999999993,3.098266546600628,2020.25,13843,3175692,13341.0,4.359049933053961,4.200974149886072
46,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,3,369.99,12.28000000000003,3.432948477817235,2020.5,55239,3175692,41396.0,17.394319096436305,13.035269163382344
47,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,4,374.96,15.20999999999998,4.2279360667129895,2020.75,166196,3175692,110957.0,52.33379055651493,34.93947146007862
